Core1,Core2
3090,3955
3091,3954
3095,3957
3095,3991
3106,3960
3107,3961
3109,3123
3124,3916
3124,3972
3124,3975
3124,3977
3124,4569
3134,3963
3134,3966
3134,3967
3138,3964
3138,4601
3139,3984
3141,3970
3144,3978
3144,3979
3146,3976
3147,3976
3150,3987
3151,3982
3152,3986
3152,3997
3152,3998
3152,4011
3152,4021
3157,3970
3161,3968
3162,3994
3162,4020
3162,4642
3166,4004
3169,4014
3182,4010
3183,4007
3184,3981
3184,3992
3185,4044
3197,4029
3198,4031
3198,4032
3199,4023
3200,3996
3209,4036
3212,4045
3220,4028
3222,4046
3223,4059
3227,4041
3229,4059
3230,4048
3240,4056
3240,4060
3241,4054
3272,4059
3273,4065
3273,4073
3286,4059
3287,4052
3288,4052
3295,4018
3310,4057
3310,4071
3316,4087
3317,4047
3318,4089
3323,4067
3323,4080
3324,4169
3324,4177
3325,4050
3331,4083
3336,4076
3346,4217
3346,4316
3346,4336
3347,4091
3347,4096
3357,4110
3378,4102
3378,4117
3380,4106
3391,4333
3392,4254
3394,4115
3407,4116
3410,4085
3411,4165
3416,4133
3427,4135
3438,4126
3439,4151
3440,3515
3440,4101
3440,4743
3444,4211
3448,4158
3451,4139
3452,4050
3453,4209
3462,4227
3473,4202
3479,4215
3495,4164
3499,4192
3499,4307
3502,4231
3507,4237
3514,4365
3514,4370
3515,4206
3515,4743
3519,4199
3522,4253
3524,4447
3526,4230
3534,4208
3537,4267
3539,4248
3542,4192
3544,4260
3547,4354
3548,4355
3553,4241
3561,4308
3564,3575
3569,4320
3584,4310
3588,4358
3589,4314
3590,4297
3591,4178
3592,4414
3593,4330
3594,4332
3596,4337
3597,4395
3603,4477
3603,4524
3603,4543
3606,4397
3606,4399
3607,4255
3608,4343
3610,4396
3612,4344
3613,4380
3614,4389
3614,4404
3626,4471
3627,4450
3629,4461
3631,4447
3633,4457
3634,4455
3634,4473
3634,4503
3636,4489
3637,4452
3637,4469
3637,4482
3637,4498
3637,4505
3638,4452
