Cores,TempF_0,CoreF_0,Mean_fut
563,9.59,563,12.96654625
564,-0.72,14771,13.90589552
565,-0.72,14771,16.08743129
566,-0.72,14771,15.24754356
567,4.35,10429,13.48581371
568,9.56,568,13.51165578
569,10.5,569,14.15375808
571,9.71,14458,14.58822203
572,10.56,572,14.20150555
574,9.71,14458,14.25531593
575,9.45,14451,13.46849185
577,10.71,577,14.24474025
578,10.8,578,14.9896755
579,10.8,579,14.90815544
580,10.37,580,13.92630309
581,9.52,14474,14.12453664
582,7.22,13658,14.42225797
583,6.13,14472,12.66763831
584,9.76,14468,13.49242588
585,10.46,585,14.62666974
586,10.41,586,14.58880321
587,9.55,14467,13.63111978
589,8.67,13683,14.53970726
590,9.74,14464,13.56182261
591,5.4,13689,13.07346506
592,9.82,14487,13.82645784
