Cores,Area
1275,68000000
1276,20000000
1277,30000000
1278,129000000
1280,10000000
1281,225000000
1282,257000000
1283,17000000
1284,146000000
1285,3294000000
1287,53000000.01
1288,78000000.02
1290,25000000
1291,55000000
1292,45000000
1293,27000000
1295,713000000
1296,17000000
1299,171000000
1300,1467000000
1301,85000000
1302,79999999.99
1303,21000000
1304,156000000
1305,15000000
1307,46000000
1308,515000000
1309,22000000
1310,26000000
1311,77000000.01
1312,61000000
1313,13000000
1314,497500000
1315,245000000
1316,158000000
1319,152000000
1320,36499999.96
1322,871000000
1323,116500000
1324,343000000
1325,53000000
1326,24000000.02
1327,25500000.02
1328,3186000000
1329,960000000
1330,14000000
1331,14000000
1332,436000000
1333,40000000
1334,3979000000
1335,36000000
1336,15000000
1338,15000000
1339,55000000
1340,20000000
1341,759000000
1342,159000000
1343,26000000
1345,38000000
1346,71000000
1347,96500000.01
1348,137000000
1349,126000000
1350,131000000
1351,12000000
1352,2567000000
1353,19000000
1354,11999999.98
1355,291000000
1356,853000000
1357,57000000
1358,11000000
1359,11000000
1360,34000000
1361,110000000
1362,1006000000
1364,1716500000
1365,107000000
1367,74000000
1368,13000000
1369,16000000
1370,39000000
1371,10999999.97
1372,428000000
1373,56999999.99
1374,66000000
1375,23000000
1376,40000000
1377,11000000
1378,62000000
1379,32000000
1380,6584500000
1381,47000000
1382,25000000
1383,273000000
1384,59000000
1386,36624999.99
1387,12000000
1388,92000000
1389,44000000
1390,27000000
1391,70999999.99
1393,206000000
1394,26000000
1396,69000000
1397,2741500000
1398,16000000
1399,103000000
1400,89000000
1401,135000000
1402,48000000
1405,42000000
1407,1043000000
1409,13999999.95
1410,33000000
1411,936000000
1412,367000000
1413,78000000
1414,11000000
1415,100000000
1416,167000000
1417,1645000000
1418,23000000
1419,483000000
1420,200000000
1421,57000000
1423,22999999.99
1424,516000000
1425,12000000
1426,35000000
1428,1478000000
1430,27000000
1431,41000000
1432,19000000
1436,1533000000
1437,31000000
1438,15000000
1439,14000000
1441,74000000.01
1442,87999999.99
1445,103000000
1446,146000000
1448,27000000.01
1449,1584000000
1450,31000000
1452,80000000
1454,36999999.99
1455,29000000
1456,191000000
1457,389000000
1458,26500000
1459,338000000
1461,1566500000
1463,29000000
1464,30500000.01
1466,40000000
1467,304000000
1468,343000000
1470,42999999.99
1471,2136000000
1472,134000000
1473,74000000
1475,38000000
1477,129000000
1479,25000000
1484,779000000
1485,19000000
1486,1555000000
1487,386000000
1488,145000000
1489,16500000
1490,125000000
1491,37000000
1492,40000000
1493,16000000
1494,52000000.01
1495,608000000
1496,36000000
