Cores,Mean
1568,12
1569,12.35
1570,12.02
1571,12.75
1572,12.68
1574,12.39
1575,12.57
1576,12.08
1577,12.03
1578,13
1579,12.27
1580,12.44
1581,12.51
1582,12.49
1583,12.34
1584,13.22
1588,12.12
1589,12.67
1590,12.09
1591,12.77
1592,12.27
1593,12.16
1594,12.3
1595,12.26
1596,12.31
1597,12.05
1598,12.4
1599,12.7
1600,12.22
1601,12.53
1602,12.69
1603,12.06
1604,12.83
1605,12.19
1606,12.82
1607,12.37
1608,12.36
1610,12.47
1611,12.4
1612,12.64
1613,12.56
1614,0
1615,12.79
1616,12.18
1617,12.63
1619,12.7
1620,12.84
1621,12.87
1622,12.84
1623,12.58
1624,12.25
1625,12.85
1626,12.61
1627,12.57
1628,11.96
1630,12.47
1631,12.98
1632,12.21
1633,12.4
1634,12.39
1635,12.27
1637,12.97
1638,12.98
1639,12.99
1642,12.97
1643,12.67
1644,12.35
1645,11.94
1646,11.9
1647,12.02
1648,12.07
1649,12.08
1650,12.52
1651,12.48
1652,12.53
1653,14
1654,13.58
1656,13.6
1657,12.36
1658,12.1
1659,12.04
1660,12.54
1662,11.99
1663,12.06
1664,12.53
1665,12.1
1666,12
1667,12.27
1668,12.19
1669,12.56
1670,12.25
1671,12.09
1672,11.99
1673,12.13
1675,12.44
1676,12.16
1680,12.16
1683,12.04
1684,12.47
1685,11.99
1686,12.17
1687,12.27
1688,11.98
1689,12.16
1690,11.92
1691,12.15
1692,12.12
1693,12.51
1694,12.1
1695,12.92
1697,12.04
1698,11.98
1699,12.28
1701,12.1
1702,12.11
1704,12.53
1705,12.37
1706,12.56
1707,12.08
1708,12.17
1709,12.45
1710,12.34
1711,12.37
1712,12.43
1713,12.67
1714,12.91
1715,12.02
1716,12.16
1717,12.52
1718,12.05
1719,12.13
1720,12.46
1721,12.28
1722,12.12
1723,12.7
1725,11.94
1727,12.51
1729,12.09
1730,12.38
1731,12.82
1732,12.59
1733,12.24
1734,12.25
1735,12.65
1736,12.53
1737,12.24
1738,12.33
1739,12.5
1740,12.39
1741,12.11
1742,12.4
1743,12.47
1744,12.2
1745,12.2
1746,12.41
1747,12
1748,12.16
1749,12.49
1750,12.43
1751,12.06
1753,12.22
1754,12.37
1755,12.41
1756,12.08
1757,12.8
1759,12.72
1760,12.37
1761,12.78
1763,12.66
1764,12.06
1766,12.03
1767,12.06
1768,12.51
