"","Core","Final_Temp","Final_Core","Final_Cost","EucDist","PathDist","CostToEuc","CostToPath"
"165",234,3.46,9113,633325.03,7828.43,9414,80.9006441904699,67.2748066709157
"166",235,-0.72,14771,0,0,0,0,0
"167",236,1.49,3823,0,0,0,0,0
"168",241,2.18,8412,892706.78,10129,12898,88.1337525915688,69.2128066366879
"169",242,8.3,13364,4617861.92,66389.88,73252,69.5567143667077,63.0407623000055
"170",243,9.05,243,0,0,0,0,0
"171",246,3.66,10278,0,0,0,0,0
"172",247,-1.64,14654,1204452,12609.45,15484,95.5197887298812,77.7868767760269
"173",248,8.3,13364,2520459.95,38550.34,45454,65.3810044217509,55.4507843094117
"174",249,-1.64,14654,1395652,14845.52,17898,94.0116614305191,77.9780981115208
"175",250,9.31,14168,0,0,0,0,0
"176",252,9.05,243,220620.3,3000,3414,73.5401,64.6222319859402
"177",253,6.38,12424,5822560.1,88254.38,100907,65.974743689775,57.7022416680706
"178",254,4,9172,0,0,0,0,0
"179",256,2.18,8412,1177097.44,13734.55,17312,85.7033859864357,67.9931515711645
"180",257,8.3,13364,1698129.32,24408.2,28555,69.5720831523832,59.4687207144108
"181",258,8.3,13364,2971256.92,43718.31,50039,67.963672886715,59.3788229181239
"182",259,-1.64,14654,1008703,10605.55,12484,95.1108617657736,80.7996635693688
"183",260,2.18,8412,892706.78,10129,12898,88.1337525915688,69.2128066366879
"184",261,9.31,14168,290634.13,3605.55,4242,80.6074329852588,68.5134677039132
"185",262,6.09,11412,17930860.25,291718.65,322287,61.4662800955647,55.6363125102781
"186",266,9.9,14142,3583382,60835.84,72455,58.9024824840094,49.4566558553585
"187",267,9.05,243,1228830.21,18050.49,19898,68.0773879268651,61.7564684892954
"188",268,7.37,12367,2322513.78,34000,36727,68.3092288235294,63.2372309200316
"189",270,8.54,13297,11678214.34,213045.76,234591,54.8155210411134,49.7811695248326
"190",271,6.09,11412,16647666.62,267635.46,296216,62.2027687213047,56.2011053420477
"191",272,7.26,12582,4222180.63,61493.81,68423,68.6602542597377,61.7070375458545
"192",273,8.35,13380,9156015.98,155895.74,169692,58.7316624559465,53.9566743276053
"193",274,8.74,13325,7897657.28,141692.57,162094,55.7379775100416,48.7226996680938
"194",275,10.28,275,0,0,0,0,0
"195",276,8.74,13325,7720231.03,136242.61,156952,56.6653195354963,49.1884845685305
"196",277,9.9,14142,3131691,59135.44,65455,52.9579385897864,47.8449469100909
"197",278,7.26,12582,4608558.29,66878.97,74251,68.9089304156449,62.0672891947583
"198",279,-0.72,14771,186757.44,2236.07,2828,83.5203906854437,66.0386987270156
"199",280,6.09,11412,17246590,278815.8,309287,61.8565734079632,55.7624148444648
"200",281,9.68,14144,2096314.56,38055.03,40626,55.0863988282232,51.6003190075321
"201",283,10.4,283,0,0,0,0,0
"202",284,-2.94,14721,7822749,127971.27,141947,61.1289471457148,55.1103510465174
"203",285,9.31,14168,1441508.78,21509.68,23898,67.0167468786147,60.3192225290819
"204",286,10.51,286,0,0,0,0,0
"205",288,9.14,14145,1740281.19,31272.98,34041,55.6480767103103,51.1230924473429
"206",289,7.47,12624,2578724.44,38369.44,41626,67.2077684740773,61.9498496132225
"207",290,9.92,14297,0,0,0,0,0
"208",291,6.09,11412,16890957.12,273980.7,302631,61.6501714171838,55.8137042140429
"209",292,7.37,12367,2348483.78,32071.07,34727,73.2274844587349,67.6270273850318
"210",293,9.14,14145,2272670,40272.98,43455,56.4316323251967,52.2993901737429
"211",295,9.68,14144,2551702.75,45126.1,48697,56.5460509549906,52.3995882703247
"212",296,9.9,14142,2849399,53450.91,58870,53.3087088695029,48.4015457788347
"213",297,7.26,12582,4892152.45,70041.25,78079,69.8467324612282,62.6564434739174
"214",298,9.14,14145,3030140.32,54979.52,60011,55.1139828066887,50.4930816017064
"215",299,8.35,13380,10146643.11,180593.92,196834,56.184854451357,51.5492400195088
"216",300,9.14,14145,2836423.91,51103.93,55111,55.5030485913706,51.4674730997442
"217",301,8.74,13325,8200972.47,145862.03,166336,56.2241761615411,49.3036532680839
"218",302,9.14,14145,4172681.82,73364.3,80153,56.8761893727603,52.058959989021
"219",303,9.14,14145,2148296.1,37103.93,40697,57.8994219749768,52.7875789370224
"220",304,6.09,11412,17466051.43,284606.02,314186,61.3692269404561,55.5914376515822
"221",305,7.17,12609,2844675.74,37154.04,44281,76.5643720036906,64.2414520900612
"222",306,7.26,12582,6078757.83,89966.11,100392,67.5671964698707,60.5502214319866
"223",307,9.98,307,0,0,0,0,0
"224",309,-0.72,14771,0,0,0,0,0
"225",312,10.93,439,208582.33,4000,4000,52.1455825,52.1455825
"226",313,8.74,13325,7986671.66,142256.48,161508,56.1427617216453,49.4506257275181
